estado;cidade;populacao;pib;pib_percapita
TOCANTINS;São Bento do Tocantins;4666;21279.5;4560.54003906
SAO PAULO;Paranapanema;17752;291595.78125;16426.08007812
TOCANTINS;Tocantínia;6971;28673.05273438;4113.18994141
PARAIBA;Baraúna;4045;16776.06835938;4147.35986328
BAHIA;Uibaí;14203;45636.62109375;3213.16992188
MINAS GERAIS;Pingo-d'Água;4201;20092.6015625;4782.81005859
RIO GRANDE DO NORTE;Serra Negra do Norte;7428;34102.24609375;4591.04003906
GOIAS;Simolândia;7331;33332.49609375;4546.79003906
PARANA;Capitão Leônidas Marques;13870;409720.78125;29540.0703125
SANTA CATARINA;Rio dos Cedros;10170;140995.3125;13863.84960938
SAO PAULO;Itapuí;12536;211197.859375;16847.31054688
MINAS GERAIS;Iguatama;7727;223230.46875;28889.66992188
PARAIBA;Lagoa Seca;25766;116892.609375;4536.70019531
PERNAMBUCO;Tacaimbó;12273;50004.21484375;4074.33007812
PARANA;Sapopema;6800;51161.984375;7523.81982422
SANTA CATARINA;Ipumirim;7400;186467.6875;25198.33984375
PARANA;Ourizona;3380;48806.203125;14439.70996094
AMAZONAS;Novo Airão;15915;61709.34765625;3877.42993164
MINAS GERAIS;Alto Caparaó;5312;47253.37890625;8895.58984375
BAHIA;Potiraguá;9656;42641.50390625;4416.06005859
SANTA CATARINA;Luiz Alves;9506;207784.828125;21858.27929688
MATO GROSSO DO SUL;Figueirão;3443;53627.80859375;15575.90039062
RIO GRANDE DO SUL;Barra do Rio Azul;1978;28652.81054688;14485.75
PERNAMBUCO;Jatobá;14452;54845.26953125;3795.0
RONDONIA;Urupá;13661;119746.1875;8765.54980469
MINAS GERAIS;Coronel Murta;9423;38242.24609375;4058.38989258
MARANHAO;Amapá do Maranhão;6451;25270.69335938;3917.33007812
PARANA;Bom Jesus do Sul;3879;30541.72265625;7873.60986328
AMAZONAS;Itamarati;8281;36895.9296875;4455.49023438
SERGIPE;São Francisco;3007;16125.22753906;5362.56005859
BAHIA;Encruzilhada;20720;109143.96875;5267.56982422
MINAS GERAIS;Cristina;11478;85793.3203125;7474.58984375
BAHIA;Tapiramutá;17879;73053.015625;4085.9699707
MINAS GERAIS;Teófilo Otoni;130517;1154886.25;8848.54980469
PARANA;Rio Negro;31191;571634.125;18326.890625
RIO GRANDE DO NORTE;Santa Cruz;35095;158790.6875;4524.60009766
PARAIBA;Caldas Brandão;5544;25826.90234375;4658.52978516
MINAS GERAIS;São Sebastião da Bela Vista;5193;54842.71875;10560.88964844
BAHIA;Vereda;7346;48446.7578125;6594.97998047
CEARA;Cedro;25591;90544.5234375;3538.13989258
PARANA;Candói;16271;200941.53125;12349.66992188
MINAS GERAIS;Itambacuri;23386;134253.15625;5740.75
ESPIRITO SANTO;São Mateus;101613;956261.75;9410.8203125
SAO PAULO;Vista Alegre do Alto;6874;144300.53125;20992.22070312
MARANHAO;Lago da Pedra;44272;152434.625;3443.13989258
MINAS GERAIS;Alvarenga;4545;22330.44921875;4913.18994141
RIO GRANDE DO SUL;São Vicente do Sul;8659;110058.625;12710.3203125
GOIAS;Nova Iguaçu de Goiás;2678;19991.43359375;7465.06005859
RIO GRANDE DO SUL;Jaguarão;28244;364778.5;12915.25976562
RIO GRANDE DO NORTE;Venha-Ver;3612;16099.59863281;4457.25
PARAIBA;Damião;4998;18189.4609375;3639.35009766
TOCANTINS;Bernardo Sayão;4653;50220.328125;10793.11035156
RIO GRANDE DO NORTE;Ceará-Mirim;67869;350788.21875;5168.60986328
RIO GRANDE DO NORTE;Brejinho;11585;57726.13671875;4982.83007812
PARANA;Ramilândia;4365;38851.65234375;8900.71972656
PARANA;Coronel Domingos Soares;7864;70627.1796875;8981.08007812
MARANHAO;Lima Campos;11794;41257.61328125;3498.18994141
SANTA CATARINA;Doutor Pedrinho;3432;38462.61328125;11207.05957031
PARA;Canaã dos Carajás;27675;852967.1875;30820.859375
RIO GRANDE DO SUL;Faxinal do Soturno;6407;93779.3671875;14637.01953125
MINAS GERAIS;Matias Cardoso;11037;87891.2890625;7963.33007812
MINAS GERAIS;Oliveira Fortes;1951;14545.58398438;7455.45019531
SAO PAULO;Cordeirópolis;20720;1366099.25;65931.4296875
MATO GROSSO;Nova Bandeirantes;14078;192547.828125;13677.20996094
RIO GRANDE DO SUL;Tucunduva;5988;117462.90625;19616.38085938
PERNAMBUCO;Vertente do Lério;7464;36315.22265625;4865.37988281
SANTA CATARINA;Painel;2357;29384.24804688;12466.79980469
AMAZONAS;Benjamin Constant;31195;116750.1015625;3742.59008789
ESPIRITO SANTO;Aracruz;78658;1975875.25;25119.8203125
CEARA;Aurora;25113;89467.84375;3562.61010742
PARAIBA;Massaranduba;12946;52693.06640625;4070.2199707
CEARA;São Gonçalo do Amarante;42962;659916.25;15360.45996094
GOIAS;Bom Jesus de Goiás;21103;283610.65625;13439.34960938
PERNAMBUCO;Glória do Goitá;28289;100163.0703125;3540.70996094
SAO PAULO;Águas de São Pedro;2613;50880.55078125;19472.08007812
SAO PAULO;Monte Alegre do Sul;7473;93054.9453125;12452.15039062
MARANHAO;Tasso Fragoso;6890;252911.84375;36707.08984375
PARANA;Nova Olímpia;5391;36311.59765625;6735.60009766
PERNAMBUCO;Flores;23034;78994.1953125;3429.45996094
SANTA CATARINA;Arroio Trinta;3638;47939.61328125;13177.45996094
ESPIRITO SANTO;Laranja da Terra;11136;69701.8984375;6259.14990234
TOCANTINS;Cristalândia;6628;60872.33984375;9184.12011719
PIAUI;São Lourenço do Piauí;5115;13126.82519531;2566.34008789
MINAS GERAIS;Rio Piracicaba;14846;118772.3828125;8000.29980469
MINAS GERAIS;Uruana de Minas;2747;29089.09375;10589.40039062
RIO GRANDE DO SUL;Cândido Godói;6722;95233.1640625;14167.37988281
SAO PAULO;Votuporanga;81279;1138017.0;14001.37011719
MINAS GERAIS;Alfredo Vasconcelos;6300;45348.81640625;7198.22998047
TOCANTINS;Combinado;5070;35322.8828125;6967.04003906
MATO GROSSO DO SUL;Ribas do Rio Pardo;20077;407836.15625;20313.59960938
PARA;Inhangapi;10377;32318.24804688;3114.40991211
MINAS GERAIS;Vargem Bonita;2140;23029.76171875;10761.5703125
RIO GRANDE DO SUL;Nova Pádua;2598;49243.48046875;18954.38085938
RIO GRANDE DO SUL;Igrejinha;33551;690711.4375;20586.91015625
PARANA;Andirá;21964;343282.375;15629.3203125
SANTA CATARINA;Ibirama;17469;210702.828125;12061.53027344
MINAS GERAIS;Itaguara;12956;111868.46875;8634.49023438
RIO GRANDE DO SUL;Dom Pedrito;38767;680121.875;17543.83984375
RIO GRANDE DO NORTE;João Câmara;31518;146441.625;4646.29003906
CEARA;Assaré;22550;76518.9765625;3393.30004883
RIO GRANDE DO SUL;Caçapava do Sul;33060;407264.375;12318.95019531
SANTA CATARINA;Jaraguá do Sul;139017;4697090.0;33787.87890625
BAHIA;Barro Preto;6417;27834.43945312;4337.60986328
PIAUI;São Félix do Piauí;3201;11539.94238281;3605.11010742
ALAGOAS;Ibateguara;15863;56599.32421875;3568.01000977
MINAS GERAIS;Madre de Deus de Minas;5173;53308.85546875;10305.20996094
SANTA CATARINA;Guarujá do Sul;4870;97872.625;20097.05078125
TOCANTINS;Ponte Alta do Bom Jesus;4664;25679.44921875;5505.89013672
PARAIBA;Paulista;12004;52906.15625;4407.37988281
CEARA;Jaguaribe;36493;206077.078125;5647.02978516
MINAS GERAIS;Ibiraci;11593;362894.21875;31302.86914062
MATO GROSSO DO SUL;Campo Grande;755107;11645484.0;15422.29980469
GOIAS;Guaraíta;2370;16679.578125;7037.79980469
SANTA CATARINA;Irineópolis;10748;186795.125;17379.51953125
MINAS GERAIS;Santa Rita de Caldas;9333;101948.3046875;10923.41992188
SANTA CATARINA;Caibi;6392;100527.7578125;15727.12011719
TOCANTINS;Gurupi;74357;934583.625;12568.87011719
RONDONIA;Vale do Paraíso;8913;88993.171875;9984.65039062
GOIAS;Santa Bárbara de Goiás;6031;49571.890625;8219.50976562
PARANA;Arapoti;26998;519706.75;19249.8203125
MINAS GERAIS;Carrancas;4182;40828.19140625;9762.83984375
SAO PAULO;Palmeira d'Oeste;9706;108116.234375;11139.11035156
SANTA CATARINA;Gaspar;55489;1179397.125;21254.609375
RIO GRANDE DO NORTE;São Paulo do Potengi;15017;87246.09375;5809.81982422
MINAS GERAIS;Belo Oriente;22555;467006.375;20705.23046875
RIO GRANDE DO SUL;Novo Xingu;1926;21380.43359375;11100.95019531
PARAIBA;São José de Caiana;6141;22382.828125;3644.82006836
PARANA;Lidianópolis;4083;32365.92578125;7927.0
RIO GRANDE DO NORTE;Paraná;4039;16883.234375;4180.04980469
RIO GRANDE DO NORTE;São Francisco do Oeste;3807;19215.29296875;5047.35986328
ALAGOAS;União dos Palmares;62727;400757.65625;6388.91992188
MINAS GERAIS;Campanário;3757;27105.78320312;7214.74023438
MINAS GERAIS;Água Boa;16643;86572.0078125;5201.70996094
RIO GRANDE DO SUL;Vitória das Missões;3676;44029.72265625;11977.62011719
MINAS GERAIS;Coronel Pacheco;2427;21314.23242188;8782.12988281
MINAS GERAIS;Ibirité;157438;1070732.0;6800.97998047
MINAS GERAIS;Itamarati de Minas;4232;37053.9765625;8755.66992188
ACRE;Plácido de Castro;18235;204410.5625;11209.79003906
MINAS GERAIS;Albertina;2976;21112.73632812;7094.33007812
MINAS GERAIS;Rio do Prado;4412;26897.79492188;6096.50976562
SANTA CATARINA;Taió;17522;304213.6875;17361.81054688
PIAUI;Bocaina;4146;15906.55566406;3836.60009766
PERNAMBUCO;Camutanga;8214;111614.5859375;13588.33984375
MINAS GERAIS;Ibituruna;2938;28054.515625;9548.84960938
ESPIRITO SANTO;Bom Jesus do Norte;9672;65357.9140625;6757.43994141
GOIAS;Heitoraí;3706;34522.12109375;9315.20019531
GOIAS;São Patrício;2144;18451.34960938;8606.04003906
RIO GRANDE DO SUL;Travesseiro;2471;34130.4921875;13812.41992188
SAO PAULO;Pederneiras;43245;624309.8125;14436.58007812
TOCANTINS;Axixá do Tocantins;9203;47001.5859375;5107.20019531
CEARA;Ipaporanga;11768;34297.74609375;2914.48999023
MATO GROSSO;São José dos Quatro Marcos;19493;183400.921875;9408.54980469
SANTA CATARINA;São Bento do Sul;76514;1501101.0;19618.640625
RIO GRANDE DO SUL;Rio Grande;196337;6280858.0;31990.18945312
PARAIBA;Cuitegi;7243;26236.60351562;3622.34008789
RIO GRANDE DO NORTE;Acari;11215;60654.46875;5408.33007812
SAO PAULO;Cotia;182045;5427421.5;29813.63085938
SANTA CATARINA;Bom Jesus do Oeste;2065;27839.12890625;13481.41992188
MINAS GERAIS;Bom Sucesso;17805;155607.109375;8739.51953125
RIO GRANDE DO NORTE;Angicos;11525;58391.62890625;5066.52001953
MINAS GERAIS;Capela Nova;4661;24456.54101562;5247.06005859
PARANA;Tunas do Paraná;6753;43655.65625;6464.62988281
AMAZONAS;Tabatinga;47948;202660.984375;4226.68017578
SANTA CATARINA;Pinheiro Preto;3048;68567.0;22495.74023438
RORAIMA;Bonfim;10726;111137.0234375;10361.45996094
BAHIA;Ipupiara;9325;31431.71484375;3370.68994141
MARANHAO;Bom Lugar;13384;57368.6171875;4286.35986328
MINAS GERAIS;Abaeté;23258;239440.546875;10294.98046875
PARANA;Santa Fé;10354;103898.0078125;10034.58007812
PARAIBA;Itabaiana;25463;118204.2109375;4642.18994141
RIO GRANDE DO SUL;Quatro Irmãos;1791;32741.546875;18281.15039062
MARANHAO;Buriti Bravo;23074;68815.1953125;2982.37011719
PIAUI;Floriano;57968;429720.625;7413.06982422
PARANA;Ivaí;13533;102136.7578125;7547.24023438
GOIAS;Santo Antônio do Descoberto;58474;233394.609375;3991.42993164
MINAS GERAIS;Mathias Lobato;3526;19697.57226562;5586.37988281
BAHIA;Itagi;14162;52461.01171875;3704.35009766
MARANHAO;Cururupu;35108;107963.34375;3075.17993164
RIO DE JANEIRO;Aperibé;9556;81305.15625;8508.28027344
SAO PAULO;Araras;114515;2407399.25;21022.5703125
GOIAS;Buriti de Goiás;2203;19388.31835938;8800.87011719
PERNAMBUCO;Ibirajuba;7833;38436.953125;4907.04980469
MARANHAO;Barreirinhas;50354;148248.078125;2944.12011719
MINAS GERAIS;Serranópolis de Minas;4787;18955.78125;3959.85009766
MARANHAO;Presidente Dutra;41303;185824.765625;4499.06005859
SAO PAULO;Taquarituba;23060;253338.09375;10986.04003906
SAO PAULO;Santa Cruz das Palmeiras;33583;255420.546875;7605.64990234
SAO PAULO;Nova Independência;2742;210455.484375;76752.546875
SANTA CATARINA;Concórdia;70393;1650183.625;23442.43945312
SAO PAULO;Tarumã;13386;320347.21875;23931.50976562
PARANA;Apucarana;121290;1511202.25;12459.41015625
MINAS GERAIS;Rio Casca;14790;108061.46875;7306.39013672
RIO GRANDE DO SUL;Sananduva;15216;277202.40625;18217.8203125
PERNAMBUCO;Itacuruba;4358;19219.95507812;4410.27001953
MINAS GERAIS;Fortaleza de Minas;3986;133684.859375;33538.6015625
RIO GRANDE DO SUL;São Pedro da Serra;3311;28525.84765625;8615.48046875
MINAS GERAIS;Josenópolis;4636;19152.56445312;4131.27001953
MINAS GERAIS;Sem-Peixe;2993;16147.79492188;5395.18994141
MATO GROSSO;Alto Paraguai;8329;65186.01953125;7826.39013672
CEARA;Groaíras;9971;33190.703125;3328.7199707
SAO PAULO;Gastão Vidigal;4118;37278.69921875;9052.62011719
RIO GRANDE DO SUL;Santa Cecília do Sul;1776;28719.18554688;16170.70996094
BAHIA;Mucugê;14714;229213.171875;15577.90039062
SAO PAULO;Mendonça;4217;48696.28515625;11547.61035156
RIO DE JANEIRO;Quissamã;19878;1810872.25;91099.3203125
SAO PAULO;Pedro de Toledo;10254;70778.8984375;6902.56005859
PIAUI;Santa Luz;5495;17753.984375;3230.92993164
MINAS GERAIS;Águas Vermelhas;13301;89496.1796875;6728.52978516
PERNAMBUCO;Lagoa do Carro;15230;59924.1796875;3934.61010742
BAHIA;Iraquara;24415;105232.5078125;4310.16015625
BAHIA;Jacaraci;14837;49422.328125;3331.02001953
SAO PAULO;Santa Albertina;4992;56413.41796875;11300.75976562
MINAS GERAIS;Itamogi;11218;82634.859375;7366.27001953
MARANHAO;São Francisco do Brejão;8863;45696.53125;5155.87988281
PARANA;Irati;56483;682697.9375;12086.79003906
GOIAS;Porangatu;40469;332653.25;8219.95019531
PIAUI;Assunção do Piauí;8370;23011.68359375;2749.31005859
SERGIPE;General Maynard;2907;13834.29785156;4758.95996094
MINAS GERAIS;Tombos;8881;55267.80078125;6223.14990234
SANTA CATARINA;Herval D'Oeste;19323;326972.25;16921.40039062
SAO PAULO;Adamantina;34424;531913.5;15451.8203125
MINAS GERAIS;Ipiaçu;4374;51452.1875;11763.19042969
PARANA;Mallet;12784;149617.28125;11703.48046875
SAO PAULO;Platina;3407;49894.515625;14644.70996094
AMAPA;Calçoene;9291;107248.828125;11543.29980469
ESPIRITO SANTO;Montanha;18856;197230.15625;10459.80957031
ALAGOAS;Ouro Branco;11504;32711.80273438;2843.52001953
SAO PAULO;Iguape;30675;252515.78125;8231.96972656
BAHIA;Itacaré;27170;102075.2734375;3756.90991211
RIO GRANDE DO SUL;Derrubadas;3391;41730.37890625;12306.21972656
CEARA;Mauriti;44211;169606.5625;3836.30004883
ALAGOAS;Junqueiro;25290;98153.7734375;3881.12988281
RIO GRANDE DO NORTE;Parelhas;20676;109494.6875;5295.74023438
PARANA;Perobal;5163;67708.015625;13114.08007812
PARANA;Borrazópolis;8235;93202.4921875;11317.84960938
GOIAS;Piracanjuba;24033;362217.96875;15071.69042969
RIO GRANDE DO SUL;São Gabriel;59337;798197.0;13451.9296875
RIO GRANDE DO SUL;Picada Café;5039;153711.953125;30504.4609375
MINAS GERAIS;Limeira do Oeste;6792;130177.796875;19166.33984375
PARANA;Medianeira;39857;637894.1875;16004.5703125
PERNAMBUCO;Serra Talhada;80294;543937.5;6774.31982422
SAO PAULO;Colômbia;6345;144238.203125;22732.58007812
PARANA;Doutor Camargo;5753;60953.90625;10595.15039062
PARANA;Sertaneja;5924;102978.7890625;17383.3203125
SAO PAULO;Redenção da Serra;4245;36065.66015625;8496.03027344
MINAS GERAIS;Ribeirão Vermelho;3938;37746.41796875;9585.16992188
RONDONIA;Nova União;7944;69908.515625;8800.16992188
RIO GRANDE DO NORTE;Januário Cicco;8629;39116.64453125;4533.16015625
SAO PAULO;Pompéia;20168;465391.53125;23075.74023438
PARANA;Jardim Olinda;1494;21127.85546875;14141.79980469
PERNAMBUCO;Jataúba;15365;59477.77734375;3870.98999023
RIO GRANDE DO SUL;Bom Jesus;12201;197372.390625;16176.74023438
BAHIA;Itororó;20930;77047.1640625;3681.17993164
ALAGOAS;São Brás;7062;27549.03125;3901.02001953
PIAUI;Anísio de Abreu;8552;25927.50585938;3031.75
ALAGOAS;Traipu;25854;68499.6875;2649.47998047
SAO PAULO;Conchal;24485;369008.0625;15070.78027344
PARANA;Roncador;12309;148181.59375;12038.48046875
SAO PAULO;Álvares Machado;23779;199326.484375;8382.45996094
PARANA;Salto do Itararé;5134;36764.2578125;7160.93994141
MARANHAO;Grajaú;56633;277077.53125;4892.50976562
MINAS GERAIS;Setubinha;11588;37165.37890625;3207.22998047
RIO GRANDE DO SUL;Pinheirinho do Vale;4635;49996.953125;10786.83007812
TOCANTINS;Araguatins;26771;152885.484375;5710.85986328
MINAS GERAIS;Ponte Nova;57654;687477.875;11924.20019531
TOCANTINS;Taguatinga;14655;110298.09375;7526.31005859
PERNAMBUCO;Salgueiro;55435;315104.03125;5684.20996094
SAO PAULO;Santa Ernestina;5618;43545.33984375;7751.04003906
MARANHAO;Magalhães de Almeida;14808;59104.46484375;3991.38989258
MINAS GERAIS;Itapagipe;15043;234536.9375;15591.09960938
SAO PAULO;Santo Antônio do Jardim;5785;78237.4609375;13524.19042969
BAHIA;Ourolândia;17080;76238.53125;4463.60986328
SANTA CATARINA;Palhoça;130878;1693864.25;12942.30957031
SAO PAULO;Macaubal;7672;84924.5390625;11069.41015625
GOIAS;Caldazinha;3341;33231.0546875;9946.44042969
MINAS GERAIS;Itamonte;14611;262661.75;17976.99023438
BAHIA;Aracatu;14316;43216.1328125;3018.72998047
PERNAMBUCO;Pombos;22120;106317.171875;4806.37988281
PERNAMBUCO;Tracunhaém;13265;63237.58984375;4767.25
PARAIBA;Catolé do Rocha;28468;146767.578125;5155.52978516
MATO GROSSO;Itanhangá;5061;129650.5390625;25617.5703125
MINAS GERAIS;São Pedro do Suaçuí;5925;31461.02148438;5309.87988281
SANTA CATARINA;Bocaina do Sul;3128;48069.1328125;15367.37011719
PERNAMBUCO;João Alfredo;29875;121253.921875;4058.70996094
BAHIA;Vitória da Conquista;318901;3142676.75;9854.70996094
PERNAMBUCO;Chã Grande;17924;92091.6328125;5137.89990234
RONDONIA;Buritis;34693;326336.875;9406.41992188
PARAIBA;Solânea;27951;108521.9921875;3882.58007812
MINAS GERAIS;Amparo do Serra;5362;25285.09570312;4715.60986328
PARA;Rondon do Pará;47772;244986.21875;5128.24023438
SAO PAULO;Vargem Grande do Sul;39160;435658.78125;11125.09960938
SAO PAULO;Marapoama;2780;81859.9609375;29446.02929688
BAHIA;Condeúba;17210;64649.53125;3756.51000977
BAHIA;Jacobina;79013;523242.1875;6622.22998047
RIO GRANDE DO SUL;Piratini;21180;191053.515625;9020.46972656
RIO GRANDE DO SUL;Crissiumal;15096;168315.0625;11149.65039062
MINAS GERAIS;Senhora dos Remédios;10588;48332.01171875;4564.79003906
GOIAS;Leopoldo de Bulhões;9518;90110.171875;9467.33984375
RIO GRANDE DO NORTE;Parnamirim;184222;1963383.5;10657.70019531
MINAS GERAIS;Medeiros;3398;51101.86328125;15038.80957031
PARANA;Brasilândia do Sul;3260;49819.625;15282.08984375
PARANA;Marialva;31397;430093.0625;13698.54003906
BAHIA;Mascote;16590;57532.8671875;3467.91992188
SAO PAULO;Taubaté;273426;8324691.0;30445.859375
SAO PAULO;Motuca;4691;68719.6796875;14649.25976562
SAO PAULO;São Sebastião;73631;3043796.25;41338.51171875
PARA;Soure;22459;81680.953125;3636.88989258
CEARA;Morrinhos;22695;68998.65625;3040.26000977
RIO GRANDE DO SUL;Roque Gonzales;7394;86025.9296875;11634.55957031
ALAGOAS;Campestre;6178;25780.65820312;4172.97998047
PARANA;Enéas Marques;6066;81526.875;13439.96972656
PARA;Gurupá;25511;79299.140625;3108.42993164
PIAUI;Dom Expedito Lopes;6793;31609.2890625;4653.20996094
RIO GRANDE DO NORTE;Passagem;2703;13935.78613281;5155.66992188
SERGIPE;Aracaju;544039;7069448.0;12994.37988281
SAO PAULO;Orlândia;37534;787616.25;20984.08007812
MARANHAO;Junco do Maranhão;3950;28271.05273438;7157.22998047
MATO GROSSO;Juruena;9595;91460.1015625;9532.05957031
BAHIA;Cardeal da silva;8618;48083.140625;5579.39013672
MARANHAO;Pinheiro;77182;316422.09375;4099.68994141
BAHIA;Jaguaquara;48206;246394.6875;5111.29003906
SAO PAULO;Iracemápolis;19700;520704.3125;26431.68945312
RIO GRANDE DO SUL;Selbach;4912;96666.890625;19679.74023438
PARANA;Santa Izabel do Oeste;11747;122608.90625;10437.46972656
SANTA CATARINA;Princesa;2687;33004.6796875;12283.09960938
CEARA;Pentecoste;35166;149833.015625;4260.74023438
BAHIA;Gandu;31819;173949.265625;5466.83984375
SAO PAULO;Cajati;28936;472912.3125;16343.38964844
GOIAS;Goiatuba;32304;708512.5625;21932.66015625
RIO GRANDE DO NORTE;Ipueira;2115;13287.04785156;6282.29003906
MARANHAO;Luís Domingues;6997;28483.0703125;4070.75
MINAS GERAIS;Guaraciama;4728;23972.3203125;5070.29003906
SAO PAULO;Salmourão;4779;53295.08203125;11151.9296875
SAO PAULO;Santo Antônio do Pinhal;6896;56594.77734375;8206.90039062
SANTA CATARINA;Leoberto Leal;3674;57065.5078125;15532.25976562
BAHIA;Itaguaçu da Bahia;13269;49661.08984375;3742.63989258
RIO DE JANEIRO;Duas Barras;10891;145481.40625;13357.95019531
SAO PAULO;Queluz;11197;78831.6953125;7040.43017578
RIO GRANDE DO SUL;Glorinha;7531;188674.734375;25053.08007812
SERGIPE;Pinhão;5809;31870.4765625;5486.39990234
PERNAMBUCO;São Lourenço da Mata;99945;430601.3125;4308.37988281
BAHIA;Cândido Sales;27180;93716.921875;3448.01000977
AMAZONAS;Codajás;16291;84273.59375;5173.02001953
MINAS GERAIS;Poço Fundo;15916;125487.59375;7884.37011719
MINAS GERAIS;Timóteo;79813;1693002.375;21212.109375
PIAUI;Francisco Macedo;2315;9199.64355469;3973.92993164
SANTA CATARINA;Indaial;50917;1083196.5;21273.76953125
BAHIA;Cícero Dantas;31832;119276.578125;3747.07006836
MINAS GERAIS;Alto Rio Doce;12778;65097.45703125;5094.49023438
MINAS GERAIS;Materlândia;4772;23538.46875;4932.62011719
PERNAMBUCO;Sanharó;18723;82603.203125;4411.85986328
SAO PAULO;Tapiratiba;12410;161548.0625;13017.5703125
MARANHAO;Santa Quitéria do Maranhão;29551;92080.375;3115.97998047
MINAS GERAIS;Ouro Preto;69495;2492686.75;35868.578125
CEARA;Parambu;32231;103936.859375;3224.75
PARANA;Abatiá;7928;55714.39453125;7027.54980469
SAO PAULO;Orindiúva;5406;94819.8359375;17539.74023438
BAHIA;Barra do Mendes;14459;49816.65234375;3445.37011719
RIO GRANDE DO SUL;Capão Bonito do Sul;1877;48154.8359375;25655.2109375
SAO PAULO;Vera Cruz;9952;95465.484375;9592.58984375
RIO GRANDE DO SUL;Pareci Novo;3232;52567.12109375;16264.58007812
RIO GRANDE DO NORTE;Severiano Melo;5224;26589.734375;5089.91992188
ALAGOAS;Jacaré dos Homens;5902;30879.77734375;5232.08984375
BAHIA;Jequié;150541;1552451.5;10312.48046875
SAO PAULO;Pilar do Sul;28455;293537.84375;10315.86035156
CEARA;Catunda;11198;37783.76171875;3374.14990234
PARANA;Rio Azul;13760;150128.484375;10910.5
CEARA;Varjota;17802;76601.1171875;4302.95019531
RIO DE JANEIRO;Macaé;194413;7057281.5;36300.4609375
GOIAS;Rubiataba;18618;160824.359375;8638.11035156
PERNAMBUCO;Carnaubeira da Penha;12451;44609.3125;3582.79003906
MINAS GERAIS;Santana do Garambéu;2205;13781.93164062;6250.31005859
RIO DE JANEIRO;Porto Real;16253;3502626.5;215506.453125
CEARA;Tauá;56639;242443.71875;4280.50976562
MINAS GERAIS;Resende Costa;10941;66597.8359375;6087.0
MINAS GERAIS;Aimorés;24825;251976.84375;10150.12011719
GOIAS;Ouro Verde de Goiás;4599;36711.6953125;7982.54003906
PARAIBA;Santa Helena;6198;24999.93164062;4033.55004883
SAO PAULO;Turiúba;2040;39628.15625;19425.5703125
MATO GROSSO;Diamantino;18989;908566.25;47846.98046875
SAO PAULO;Ribeirão Pires;112011;1631338.625;14564.08984375
TOCANTINS;Lavandeira;1683;12126.01464844;7205.0
RIO GRANDE DO SUL;Muçum;4685;79309.03125;16928.2890625
MATO GROSSO;Apiacás;8381;148853.84375;17760.86914062
TOCANTINS;Abreulândia;2321;17476.70117188;7529.81982422
PERNAMBUCO;Belém de Maria;9703;37656.3515625;3880.89990234
MINAS GERAIS;Campo Florido;7105;245850.359375;34602.44140625
SAO PAULO;Guapiaçu;17938;389872.96875;21734.47070312
PARAIBA;Caaporã;20064;286072.875;14258.01953125
SAO PAULO;Bananal;10822;88336.4296875;8162.66992188
SAO PAULO;Morungaba;13305;232642.84375;17485.36914062
PARAIBA;Araçagi;17839;100224.0078125;5618.25
MARANHAO;São João do Carú;12511;39601.421875;3165.33007812
MINAS GERAIS;Camacho;3229;44854.86328125;13891.25976562
MINAS GERAIS;Olímpio Noronha;2655;22509.8046875;8478.26953125
RIO GRANDE DO SUL;Chiapetta;4094;76856.4765625;18772.94921875
GOIAS;São Miguel do Passa Quatro;3856;51348.8828125;13316.62011719
PERNAMBUCO;Ipojuca;75512;7082403.0;93791.75
CEARA;Uruburetama;20627;105931.96875;5135.60009766
RIO GRANDE DO SUL;Chuvisca;5159;69552.2109375;13481.71972656
MARANHAO;Conceição do Lago-Açu;14909;48036.515625;3221.97998047
MINAS GERAIS;Ipuiúna;9549;110897.609375;11613.53027344
BAHIA;Aporá;18738;55787.8046875;2977.26000977
MARANHAO;Gonçalves Dias;16911;50201.11328125;2968.55004883
SAO PAULO;Alfredo Marcondes;4055;38104.7421875;9396.98046875
PARA;Anajás;27386;62534.5625;2283.44995117
MINAS GERAIS;Divisa Alegre;6235;42667.08984375;6843.16015625
BAHIA;Guaratinga;22960;102757.34375;4475.49023438
SAO PAULO;Serra Azul;10121;73476.2578125;7259.77978516
PARAIBA;Cajazeirinhas;3168;14881.45996094;4697.43017578
PIAUI;Socorro do Piauí;4733;13982.046875;2954.15991211
MATO GROSSO;Nova Marilândia;2345;38595.01171875;16458.4296875
SAO PAULO;Palestina;11354;137605.546875;12119.5703125
PARAIBA;São José dos Ramos;5702;23567.55078125;4133.20996094
CEARA;Ererê;7332;24669.0703125;3364.58007812
BAHIA;Maracás;35990;125397.140625;3484.2199707
MINAS GERAIS;Montezuma;7677;29338.85351562;3821.65991211
RIO GRANDE DO NORTE;Monte das Gameleiras;2449;11909.32226562;4862.93017578
PARA;Ourém;15841;49183.3671875;3104.81005859
SAO PAULO;Nantes;2662;86357.6171875;32440.88085938
SAO PAULO;Campos do Jordão;46505;546444.5625;11750.23046875
SANTA CATARINA;Paraíso;4200;46444.15234375;11058.12988281
MINAS GERAIS;São João da Ponte;26983;109678.1484375;4064.70996094
PIAUI;José de Freitas;36485;153536.328125;4208.20019531
PERNAMBUCO;Pesqueira;64454;290683.65625;4509.93994141
GOIAS;Água Limpa;2111;24790.08984375;11743.29003906
GOIAS;Cromínia;3729;36729.203125;9849.61035156
